symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,high_to_ltp_pct,low_to_ltp_pct
LUPIN,2026,6,,2285.4,2440.8,2219.8,2419.0,5.845803798022224,18042940.0,21,859187.619047619,12,8,0,221.0,0.09596238423413084,43.47619047619056,42.16666666666678,2026-06-30T00:00:00+05:30,2026-06-02T00:00:00+05:30,,
VISL,2026,6,,20.0,35.66,19.06,35.26,76.29999999999998,1028097399.0,11,93463399.9090909,10,0,0,16.599999999999998,0.610436933774613,1.7227272727272724,1.3027272727272723,2026-06-30T00:00:00+05:30,2026-06-15T00:00:00+05:30,2.5150355385456584,47.89502460360853
APOLLOTYRE,2026,6,,395.15,443.9,378.05,430.2,8.870049348348731,23866879.0,21,1136518.0476190476,11,9,0,65.84999999999997,0.16139234966299995,11.854761904761899,10.445238095238091,2026-06-17T00:00:00+05:30,2026-06-11T00:00:00+05:30,3.078602620087341,17.456331877729255
FEDERALBNK,2026,6,,290.0,331.8,284.85,330.05,13.81034482758621,195267390.0,21,9298447.142857144,12,7,1,46.94999999999999,0.14951662433180418,6.969047619047617,6.819047619047619,2026-06-30T00:00:00+05:30,2026-06-02T00:00:00+05:30,-0.591177808094585,13.642564802182811
BANKNIFTY1,2026,6,,56.39,61.82,54.9,59.89,6.20677425075368,21827081.0,21,1039384.8095238095,11,8,1,6.920000000000002,0.11872646018349826,1.2300000000000002,1.1971428571428575,2026-06-25T00:00:00+05:30,2026-06-03T00:00:00+05:30,-2.266335814722907,9.18114143920596
BDL,2026,6,,1212.2,1440.5,1155.2,1368.4,12.885662431941928,33249693.0,21,1583318.7142857143,11,9,0,285.29999999999995,0.2245151861497817,42.06190476190479,40.72380952380955,2026-06-23T00:00:00+05:30,2026-06-11T00:00:00+05:30,-3.752520887352341,16.796312301930282
SILVER,2026,6,,260.14,263.84,212.18,222.02,-14.653648035673092,33240109.0,21,1582862.3333333333,8,12,0,51.65999999999997,0.21597290932147872,8.742380952380948,6.8357142857142845,2026-06-02T00:00:00+05:30,2026-06-25T00:00:00+05:30,-16.914078078610356,5.977755129170905
INDIANB,2026,6,,840.25,884.95,805.85,816.65,-2.80868789050878,57351721.0,21,2731034.3333333335,10,10,0,79.10000000000002,0.09371403425631307,22.780952380952378,21.95714285714285,2026-06-18T00:00:00+05:30,2026-06-02T00:00:00+05:30,-12.53894576206524,-2.4798117886437336
NAZARA,2026,6,,281.0,310.45,264.4,303.1,7.864768683274029,40673881.0,21,1936851.4761904762,12,8,0,46.05000000000001,0.16018054577829313,9.490476190476185,9.204761904761902,2026-06-30T00:00:00+05:30,2026-06-08T00:00:00+05:30,-3.4833333333333294,11.866666666666674
POWERGRID,2026,6,,291.0,295.25,278.4,286.3,-1.6151202749140854,233297853.0,21,11109421.57142857,11,9,0,16.850000000000023,0.05872590428930628,5.7095238095238035,5.666666666666662,2026-06-24T00:00:00+05:30,2026-06-02T00:00:00+05:30,-3.0900837988826897,2.7932960893854752
KEI,2026,6,,5289.5,5708.0,5067.5,5427.5,2.6089422440684373,7145146.0,21,340245.04761904763,11,9,0,640.5,0.11904098132143853,189.45238095238096,182.78571428571428,2026-06-23T00:00:00+05:30,2026-06-02T00:00:00+05:30,,
COMSYN,2026,6,,153.53,173.6,151.5,161.3,5.060900149807862,2176025.0,21,103620.23809523809,11,8,1,22.099999999999994,0.13642536729906574,7.00095238095238,7.00095238095238,2026-06-17T00:00:00+05:30,2026-06-09T00:00:00+05:30,5.805751492132401,17.79706999457407
LLOYDSENGG,2026,6,,74.0,91.99,66.51,86.53,16.932432432432435,561349323.0,21,26730920.14285714,11,9,0,25.47999999999999,0.32623248667829124,4.620952380952382,4.4852380952380955,2026-06-22T00:00:00+05:30,2026-06-11T00:00:00+05:30,-7.226949527916993,22.47348175778063
SMALLCAP,2026,6,,45.28,47.71,43.65,46.37,2.4072438162544088,38357238.0,21,1826535.142857143,12,8,0,4.060000000000002,0.08935608283726006,0.9409523809523802,0.9009523809523801,2026-06-25T00:00:00+05:30,2026-06-11T00:00:00+05:30,-1.9226660969878198,6.750694296090587
GROWW,2026,6,,186.0,208.49,184.0,202.07,8.639784946236556,832029223.0,21,39620439.190476194,11,9,0,24.49000000000001,0.12475862872002874,6.6947619047619025,6.68380952380952,2026-06-16T00:00:00+05:30,2026-06-01T00:00:00+05:30,-7.579979360165118,5.056759545923638
FIVESTAR,2026,6,,445.9,527.85,415.35,505.1,13.27651939896839,39951935.0,21,1902473.0952380951,9,11,0,112.5,0.24172012646183122,19.671428571428567,18.661904761904758,2026-06-19T00:00:00+05:30,2026-06-11T00:00:00+05:30,3.8524590163934382,24.344262295081965
ENGINERSIN,2026,6,,232.49,265.0,220.0,240.61,3.4926233386382224,82230380.0,21,3915732.380952381,11,8,1,45.0,0.18714390673302192,9.664285714285715,9.517619047619048,2026-06-23T00:00:00+05:30,2026-06-11T00:00:00+05:30,-10.232945091514141,8.485856905158071
GENUSPOWER,2026,6,,315.0,358.95,282.1,299.4,-4.95238095238096,84673982.0,21,4032094.380952381,11,9,0,76.84999999999997,0.2410530246452576,14.214285714285708,13.285714285714283,2026-06-24T00:00:00+05:30,2026-06-30T00:00:00+05:30,-16.014867485455724,8.82352941176469
IIFL,2026,6,,470.2,546.15,459.7,507.8,7.99659719268397,55452405.0,21,2640590.714285714,11,9,0,86.44999999999999,0.16893642957841498,20.73095238095238,19.700000000000006,2026-06-23T00:00:00+05:30,2026-06-02T00:00:00+05:30,-4.157528368456175,12.329550872508827
SETL,2026,6,,133.51,256.77,132.3,256.77,92.32267245899183,32368420.0,21,1541353.3333333333,14,6,0,124.46999999999997,0.7055170180031849,12.53238095238095,11.464761904761904,2026-06-30T00:00:00+05:30,2026-06-01T00:00:00+05:30,1.8087954110898732,49.40726577437858
MAXHEALTH,2026,6,,970.0,1159.0,919.8,1129.25,16.417525773195877,57915048.0,21,2757859.4285714286,15,5,0,239.20000000000005,0.2308402840008272,28.933333333333334,28.91666666666667,2026-06-29T00:00:00+05:30,2026-06-02T00:00:00+05:30,-2.675407512402556,18.51523742026931
ROTO,2026,6,,56.95,78.87,55.2,72.11,26.61984196663739,221302591.0,21,10538218.61904762,13,7,0,23.67,0.36841832196857405,3.8090476190476203,3.633809523809524,2026-06-24T00:00:00+05:30,2026-06-02T00:00:00+05:30,-10.928270042194107,22.362869198312225
FIRSTCRY,2026,6,,226.5,235.02,211.02,223.29,-1.417218543046361,58014049.0,21,2762573.761904762,9,11,0,24.0,0.10918331315030688,7.663333333333335,7.498095238095239,2026-06-05T00:00:00+05:30,2026-06-08T00:00:00+05:30,-10.353570925482467,0.9156219185800764
JWL,2026,6,,279.0,286.5,260.35,267.8,-4.01433691756272,30702544.0,21,1462025.9047619049,8,12,0,26.149999999999977,0.09512961984530492,8.802380952380949,8.564285714285704,2026-06-04T00:00:00+05:30,2026-06-25T00:00:00+05:30,-12.86192633444948,-2.560567264132373
