symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val,high_to_ltp_pct,low_to_ltp_pct
PWL,2026,6,,108.21,131.42,89.8,124.13,14.71213381388042,338752931.0,21,16131091.952380951,14,6,0,41.61999999999999,0.3712488372191803,6.417619047619047,6.314761904761905,2026-06-22T00:00:00+05:30,2026-06-04T00:00:00+05:30,107.48849999999999,114.35579999999999,90.63239999999999,13.185361342317353,40.67908574448408
IBULLSLTD,2026,6,,22.08,28.65,22.03,27.81,25.951086956521742,144283967.0,21,6870665.095238095,14,6,0,6.619999999999997,0.2670893371757925,1.3842857142857146,1.3033333333333337,2026-06-23T00:00:00+05:30,2026-06-03T00:00:00+05:30,22.0631,26.0682,22.03,3.1112614135948657,25.498816367940474
PGEL,2026,6,,483.95,579.0,457.0,533.4,10.217997727037915,68030858.0,21,3239564.6666666665,9,11,0,122.0,0.23834775327937482,19.057142857142864,18.10238095238096,2026-06-22T00:00:00+05:30,2026-06-11T00:00:00+05:30,468.59000000000003,538.74,463.1,0.8052081548740869,21.70635600479699
SONACOMS,2026,6,,608.8,632.2,582.1,619.9,1.8232588699080197,36132058.0,21,1720574.1904761905,12,8,0,50.10000000000002,0.08278385396175941,14.919047619047639,14.466666666666686,2026-06-25T00:00:00+05:30,2026-06-11T00:00:00+05:30,599.8855000000001,621.6790000000001,594.124,5.747297800969058,13.216548639582554
AEQUS,2026,6,,194.0,246.9,173.6,234.65,20.953608247422682,158072256.0,21,7527250.285714285,11,9,0,73.30000000000001,0.36213881399714865,13.481428571428566,13.254761904761901,2026-06-30T00:00:00+05:30,2026-06-11T00:00:00+05:30,184.2285,227.109,177.998,4.328283023985736,32.73142945712404
RECLTD,2026,6,,339.65,371.3,321.0,363.8,7.1102605623435995,131230327.0,21,6249063.19047619,12,8,0,50.30000000000001,0.14351122221618395,8.645238095238094,8.223809523809527,2026-06-23T00:00:00+05:30,2026-06-02T00:00:00+05:30,363.0005,368.28200000000004,341.12,-5.4829545454545485,8.806818181818182
HSCL,2026,6,,604.0,718.0,580.9,679.2,12.450331125827823,325809086.0,21,15514718.38095238,11,9,0,137.10000000000002,0.20637969965234224,34.10714285714287,34.10714285714287,2026-06-18T00:00:00+05:30,2026-06-03T00:00:00+05:30,673.4424999999999,700.177,648.079,-10.453042073686646,10.637643258210904
HAPPSTMNDS,2026,6,,378.0,394.4,335.1,341.05,-9.775132275132274,17746358.0,21,845064.6666666666,7,13,0,59.299999999999955,0.16774315213804147,9.84523809523809,9.335714285714284,2026-06-02T00:00:00+05:30,2026-06-29T00:00:00+05:30,351.4075,375.424,335.1,-7.8774617067833566,8.342450765864331
COALINDIA,2026,6,,456.55,484.45,432.0,439.05,-3.833096046435221,240858138.0,21,11469435.142857144,7,13,0,52.44999999999999,0.11531153324713801,10.709523809523814,10.602380952380956,2026-06-04T00:00:00+05:30,2026-06-25T00:00:00+05:30,466.35474999999997,483.9255,449.83299999999997,-12.688997441265414,-0.488485694347528
JSWCEMENT,2026,6,,129.28,136.9,122.8,134.92,4.362623762376227,59610493.0,21,2838594.904761905,11,9,0,14.100000000000009,0.10904792068706454,3.5357142857142865,3.4109523809523816,2026-06-25T00:00:00+05:30,2026-06-11T00:00:00+05:30,129.9205,134.362,126.889,-1.2049974125822394,9.218599837362321
