symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day
RSYSTEMS,2026,6,,266,283.3,233.6,234.9,-11.6917293233083,5860982,21,279094.380952381,10,10,0,49.7,0.195922734696176,10.2214285714286,9.80714285714286,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
VIKRAMSOLR,2026,6,,202.73,221.9,177.35,179.66,-11.3796675381049,71103419,21,3385877.0952381,9,11,0,44.55,0.220125268230245,9.38809523809524,9.26857142857143,2026-06-10T00:00:00+05:30,2026-06-30T00:00:00+05:30
RPOWER,2026,6,,28,28.94,24.01,24.84,-11.2857142857143,756925364,21,36044064.952381,10,10,0,4.93,0.186389413988658,1.0847619047619,1.04619047619048,2026-06-05T00:00:00+05:30,2026-06-29T00:00:00+05:30
NSLNISP,2026,6,,48.3,53.75,42.5,42.85,-11.2836438923395,304235350,21,14487397.6190476,4,16,0,11.25,0.237103572862304,1.86047619047619,1.79,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
BSOFT,2026,6,,322.3,356.8,285,286.3,-11.1697176543593,36273164,21,1727293.52380952,7,13,0,71.8,0.225661134142509,11.8380952380952,11.0571428571429,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
ITBEES,2026,6,,32.84,34.65,29.12,29.2,-11.0840438489647,518738281,21,24701822.9047619,7,13,0,5.53,0.17611197889022,1.08666666666667,1.02904761904762,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
TATAELXSI,2026,6,,4306.9,4542.8,3813.8,3829.7,-11.0798950521257,6213121,21,295862.904761905,9,11,0,729,0.176018322738201,114.87619047619,107.352380952381,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
TCS,2026,6,,2284,2457.4,2018.8,2031.5,-11.0551663747811,120106353,21,5719350.14285714,9,11,0,438.6,0.201933701657459,67.1714285714286,58.2095238095238,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
ITIETF,2026,6,,32.79,35.15,29.12,29.22,-10.8874656907594,39050626,21,1859553.61904762,6,14,0,6.03,0.192006186411123,1.09666666666667,1.05904761904762,2026-06-03T00:00:00+05:30,2026-06-30T00:00:00+05:30
ABFRL,2026,6,,65.15,65.66,57.88,58.06,-10.8825786646201,78647466,21,3745117.42857143,7,13,0,7.77999999999999,0.128879072335726,1.86095238095238,1.81142857142857,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30
TMPV,2026,6,,395,407.8,343.3,352.2,-10.8354430379747,282653896,21,13459709.3333333,9,11,0,64.5,0.171765526424246,12.8309523809524,11.947619047619,2026-06-15T00:00:00+05:30,2026-06-30T00:00:00+05:30
SANDUMA,2026,6,,227,235,201.45,202.85,-10.6387665198238,20397193,21,971294.904761905,6,14,0,33.55,0.156047894112019,6.49857142857143,6.16666666666667,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30
TATASTEEL,2026,6,,210,213.46,187.05,188.06,-10.447619047619,672173002,21,32008238.1904762,7,13,0,26.41,0.132294745278766,4.15047619047619,3.96190476190476,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
