time,ltp,gammaFlip,imbalance,microprice,spread,flow,dS,IV,callSkew,putSkew,netGEX,callGEX,putGEX,I1,I2,I3
1778046916998,24087.7,24100,0.5789473684210527,24166.553248355263,8.30078125,-0.05507330842703226,0.36877999372161013,15.430406007992465,0.01952785849571484,-0.08615795673242309,24256.04674999999,41513.748900000006,-17257.702150000005,-0.1683580471614288,-0.009576655903379926,-0.001477623511217483
1778046933783,24088.85,24100,0,24165.599609375,11,-0.03812205526184342,0.3932002564839316,15.429552987803287,0.019088255901688795,-0.08701331114840805,23588.12884999999,41132.357500000006,-17544.22865,-0.2764694107502973,-0.02623924705081906,-0.0035816391283080354
1778046949607,24090.8,24100,-0.75,24162.137451171875,9.099609375,-0.027902895476459116,0.5206856859463158,15.428583040658966,0.019598274208895133,-0.0880633191802386,23687.32339999999,41198.062750000005,-17510.739350000003,-0.330545730568135,-0.024003989024641865,-0.0025419565418294504
1778046965533,24092,24100,0.14285714285714285,24168.37137276786,12.19921875,0.026325759265203443,0.7608752383115392,15.428583040658966,0.019598274208895133,-0.0880633191802386,23687.32339999999,41198.062750000005,-17510.739350000003,-0.293159682205438,-0.019297981830694054,-0.0009065828629080874
1778046982067,24092.65,24100,-0.3793103448275862,24161.82785560345,4.599609375,0.027548170481560663,0.7334684442650593,15.428583040658966,0.019598274208895133,-0.0880633191802386,23687.32339999999,41198.062750000005,-17510.739350000003,-0.2286728063941083,-0.016376634428014035,0.0007089885945743538
1778046997199,24096.4,24100,0.3333333333333333,24173.466145833332,10.900390625,0.049122427828715044,0.8435149328611632,15.425367003376275,0.01695817062170631,-0.09193059270374317,23332.589799999998,40927.816149999984,-17595.22635,-0.1790952584873958,-0.015370876283978575,0.0007066333885888378
1778047013111,24096.1,24100,-0.29411764705882354,24165.081571691175,2.5,0.044905014668920114,0.6014494821581586,15.425367003376275,0.01695817062170631,-0.09193059270374317,23332.589799999998,40927.816149999984,-17595.22635,-0.27563245667376207,-0.018768202530589095,6.586243195095061e-05
1778047028111,24098.6,24100,0.6,24173.66015625,6.69921875,0.06680074610205478,0.7801441626138641,15.425367003376275,0.01695817062170631,-0.09193059270374317,23332.589799999998,40927.816149999984,-17595.22635,-0.3393574831987316,-0.016868414324238752,-0.0001944437811989833
1778047043135,24099.35,24100,0.6666666666666666,24173.349934895832,9.900390625,0.06519635340297253,0.756690630414077,15.425367003376275,0.01695817062170631,-0.09193059270374317,23332.589799999998,40927.816149999984,-17595.22635,-0.38316704299648074,-0.011944956060611847,0.0002453738002063031
1778047059014,24098.9,24100,0,24168.2998046875,5.201171875,0.08757753296955624,0.9290219560588646,15.422163623272093,0.025707558048594224,-0.08663869149587083,24573.799899999995,41886.809250000006,-17313.00935,-0.20932028622346535,0.000780614752174104,0.001776145609968195
