symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val
VISL,2026,,2,20.0,35.66,19.06,35.26,76.29999999999998,1028097399.0,11,93463399.9090909,10,0,0,16.599999999999998,0.610436933774613,1.7227272727272724,1.3027272727272723,2026-06-30T00:00:00+05:30,2026-06-15T00:00:00+05:30,22.131,29.019999999999996,19.06
APOLLOTYRE,2026,,2,419.0,449.25,365.3,430.2,2.6730310262529806,81991763.0,60,1366529.3833333333,28,31,0,83.94999999999999,0.2044531578210334,11.959999999999992,10.974166666666665,2026-04-17T00:00:00+05:30,2026-05-20T00:00:00+05:30,409.37375,433.2995,385.448
FEDERALBNK,2026,,2,266.45,331.8,256.5,330.05,23.869393882529565,745257721.0,60,12420962.016666668,36,22,1,75.30000000000001,0.25389724972744543,7.394999999999993,7.154999999999993,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,292.26750000000004,298.668,281.349
BANKNIFTY1,2026,,2,53.47,65.0,51.71,59.89,12.006732747334956,99403983.0,60,1656733.05,27,31,1,13.29,0.23199250548414685,1.3870000000000002,1.3276666666666668,2026-04-10T00:00:00+05:30,2026-04-02T00:00:00+05:30,57.889849999999996,58.7537,56.2286
BDL,2026,,2,1132.2,1481.2,1120.2,1368.4,20.862038509097335,91581320.0,60,1526355.3333333333,32,26,1,361.0,0.27428692996185816,45.401666666666685,42.98333333333336,2026-05-08T00:00:00+05:30,2026-04-01T00:00:00+05:30,1385.535,1481.2,1224.89
SILVER,2026,,2,229.65,285.1,212.18,222.02,-3.3224472022643137,109847416.0,60,1830790.2666666666,29,30,0,72.92000000000002,0.29710211357270183,8.262166666666667,6.428333333333334,2026-05-14T00:00:00+05:30,2026-06-25T00:00:00+05:30,248.27540000000002,255.20280000000002,216.5552
INDIANB,2026,,2,879.35,1000.9,801.35,816.65,-7.130266674248029,186436835.0,60,3107280.5833333335,24,35,0,199.54999999999995,0.2306787519495369,26.739166666666666,25.111666666666665,2026-04-15T00:00:00+05:30,2026-05-13T00:00:00+05:30,818.3117500000001,867.2015,811.3275
NAZARA,2026,,2,233.78,314.0,228.38,303.1,29.651809393446836,197454261.0,60,3290904.35,30,29,0,85.62,0.3110334785412209,9.831333333333331,9.660999999999996,2026-05-15T00:00:00+05:30,2026-04-02T00:00:00+05:30,270.76189999999997,302.8694,262.628
POWERGRID,2026,,2,305.0,324.95,278.4,286.3,-6.131147540983603,744718337.0,60,12411972.283333333,30,29,0,46.55000000000001,0.1552826973488524,6.7033333333333305,6.435833333333331,2026-04-27T00:00:00+05:30,2026-06-02T00:00:00+05:30,286.08074999999997,304.9335,282.5895
KEI,2026,,2,4131.2,5708.0,3953.3,5427.5,31.37829202168862,25035568.0,60,417259.4666666667,32,27,0,1754.6999999999998,0.3472356896626785,184.72666666666657,176.27333333333326,2026-06-23T00:00:00+05:30,2026-04-02T00:00:00+05:30,5225.4575,5479.889,4778.009
COMSYN,2026,,2,156.98,173.6,151.5,161.3,2.7519429226653216,3893348.0,60,64889.13333333333,30,27,2,22.099999999999994,0.14077479218200925,4.6693333333333324,4.662833333333333,2026-06-17T00:00:00+05:30,2026-06-09T00:00:00+05:30,153.1575,163.213,152.826
LLOYDSENGG,2026,,2,39.8,91.99,38.88,86.53,117.41206030150755,978145896.0,60,16302431.6,36,23,0,53.10999999999999,0.8002089292126733,3.720833333333333,3.5741666666666663,2026-06-22T00:00:00+05:30,2026-04-01T00:00:00+05:30,86.94454999999999,90.3967,68.6216
SMALLCAP,2026,,2,37.98,47.71,37.76,46.37,22.090573986308588,149815637.0,60,2496927.283333333,37,22,0,9.950000000000003,0.22456779163720084,0.9511666666666663,0.9053333333333329,2026-06-25T00:00:00+05:30,2026-04-01T00:00:00+05:30,44.07825,46.8145,43.2325
GROWW,2026,,2,158.0,227.2,154.15,202.07,27.892405063291136,3303949369.0,60,55065822.81666667,31,28,0,73.04999999999998,0.37239913234315764,8.500333333333332,8.073499999999997,2026-04-29T00:00:00+05:30,2026-04-01T00:00:00+05:30,187.38774999999998,205.285,179.7175
FIVESTAR,2026,,2,369.15,527.95,348.8,505.1,36.82784775836382,99960853.0,60,1666014.2166666666,29,30,0,179.15000000000003,0.39093456601316945,19.76333333333333,19.068333333333324,2026-04-21T00:00:00+05:30,2026-04-02T00:00:00+05:30,485.8497500000001,518.9925000000001,447.33250000000004
ENGINERSIN,2026,,2,191.33,267.0,188.46,240.61,25.756546281294096,313175233.0,60,5219587.216666667,32,26,1,78.53999999999999,0.33059868922292046,10.233833333333333,9.708166666666667,2026-05-07T00:00:00+05:30,2026-04-01T00:00:00+05:30,243.0453,263.85839999999996,229.3008
GENUSPOWER,2026,,2,225.84,358.95,220.77,299.4,32.57173219978745,116310312.0,60,1938505.2,33,26,0,138.17999999999998,0.4525091366369315,13.881833333333331,13.172833333333335,2026-06-24T00:00:00+05:30,2026-04-02T00:00:00+05:30,298.8417,320.2596,281.5692
IIFL,2026,,2,438.0,546.15,409.1,507.8,15.936073059360734,199372113.0,60,3322868.55,32,27,0,137.04999999999995,0.2884752000084195,19.694166666666668,18.59416666666667,2026-06-23T00:00:00+05:30,2026-04-27T00:00:00+05:30,468.71675,499.553,439.25100000000003
SETL,2026,,2,109.8,256.77,107.0,256.77,133.85245901639342,40694280.0,60,678238.0,35,24,0,149.76999999999998,0.9992194119570075,8.492499999999998,8.003333333333332,2026-06-30T00:00:00+05:30,2026-04-01T00:00:00+05:30,139.20055,216.33209999999997,114.4885
MAXHEALTH,2026,,2,966.2,1159.0,903.0,1129.25,16.875388118401982,169859910.0,60,2830998.5,36,23,0,256.0,0.2522886240989839,28.8075,27.987500000000004,2026-06-29T00:00:00+05:30,2026-04-07T00:00:00+05:30,1011.8,1036.12,933.72
ROTO,2026,,2,48.35,78.87,48.0,72.11,49.14167528438469,239365900.0,60,3989431.6666666665,34,25,0,30.870000000000005,0.5152485416313145,2.919500000000001,2.8366666666666673,2026-06-24T00:00:00+05:30,2026-04-02T00:00:00+05:30,72.54165,78.87,68.3742
FIRSTCRY,2026,,2,215.0,269.63,211.02,223.29,3.8558139534883686,260505114.0,60,4341751.9,27,32,0,58.609999999999985,0.2533834537708135,9.781500000000001,9.629333333333333,2026-04-07T00:00:00+05:30,2026-06-08T00:00:00+05:30,225.37945000000002,249.7026,217.46710000000002
JWL,2026,,2,250.22,308.6,244.68,267.8,7.025817280792908,161070101.0,60,2684501.683333333,29,30,0,63.920000000000016,0.22940364741750427,10.753666666666662,10.015499999999996,2026-05-07T00:00:00+05:30,2026-04-01T00:00:00+05:30,280.7948,295.1768,267.052
LEMONTREE,2026,,2,102.92,128.38,102.8,116.65,13.340458608628063,338214128.0,60,5636902.133333334,32,27,0,25.58,0.22410648708554975,3.7613333333333343,3.5341666666666667,2026-04-21T00:00:00+05:30,2026-04-01T00:00:00+05:30,113.9273,123.5198,111.49719999999999
TATAELXSI,2026,,2,4109.3,4753.6,3813.8,3829.7,-6.804078553524939,18324547.0,60,305409.11666666664,31,28,0,939.8000000000002,0.22188643607602418,117.65166666666661,111.43333333333324,2026-04-17T00:00:00+05:30,2026-06-30T00:00:00+05:30,4297.7970000000005,4405.874,4011.1580000000004
HEROMOTOCO,2026,,2,5152.0,5484.5,4671.5,4794.3,-6.942934782608693,40630709.0,60,677178.4833333333,27,32,0,813.0,0.16123919494109548,141.04666666666665,130.19833333333332,2026-04-10T00:00:00+05:30,2026-06-30T00:00:00+05:30,5017.025,5159.3,4785.32
TECHM,2026,,2,1412.6,1589.0,1327.3,1404.7,-0.55925244230496,152672725.0,60,2544545.4166666665,28,31,0,261.70000000000005,0.1805240509035975,44.30333333333335,41.823333333333345,2026-06-02T00:00:00+05:30,2026-05-14T00:00:00+05:30,1454.2244999999998,1500.022,1403.193
